raceID,raceType,officeName,seatName,isUncontested,isNational
46096,General,Agriculture Commissioner,No data,No data,No data
46098,General,Land Commissioner,No data,No data,No data
46634,General,State Board of Education,District 3,Yep,No data
46635,General,State Board of Education,District 4,Yep,No data
46638,General,State Board of Education,District 7,No data,No data
46640,General,State Board of Education,District 11,No data,No data
46641,General,State Board of Education,District 12,No data,No data
47181,General,Supreme Court,Place 4,No data,No data
47183,General,Appeals Court,5th - Chief Justice,No data,No data
47189,General,Appeals Court,4th - Place 4,No data,No data
47191,General,Appeals Court,5th - Place 9,No data,No data
47195,General,Appeals Court,7th - Place 2,Yep,No data
47199,General,Appeals Court,13th - Place 5,No data,No data
47200,General,Appeals Court,4th - Place 5,No data,No data
47201,General,Appeals Court,14th - Place 5,No data,No data
47800,General,Appeals Court,2nd - Chief Justice,Yep,No data
47803,General,Appeals Court,10th - Chief Justice,Yep,No data
47805,General,Appeals Court,13th - Place 4,No data,No data
47807,General,Appeals Court,1st - Place 2,No data,No data
47808,General,Appeals Court,2nd - Place 4,Yep,No data
47810,General,Appeals Court,3rd - Place 3,No data,No data
47815,General,Appeals Court,8th - Place 3,Yep,No data
47818,General,Appeals Court,13th - Chief Justice,No data,No data
47822,General,Appeals Court,4th - Place 3,No data,No data
47824,General,Appeals Court,5th - Place 10,No data,No data
47825,General,Appeals Court,5th - Place 11,No data,No data
47826,General,Appeals Court,5th - Place 12,No data,No data
47890,General,Appeals Court,2nd - Place 5,No data,No data
48160,General,Appeals Court,11th - Chief Justice,Yep,No data
49055,General,Supreme Court,Place 6,No data,No data
49100,General,Criminal Appeals Court,Place 7,No data,No data
49101,General,Criminal Appeals Court,Place 8,No data,No data
49102,General,Appeals Court,3rd - Place 2,No data,No data
49167,General,Appeals Court,1st - Place 7,No data,No data
49224,General,State Board of Education,District 2,No data,No data
49225,General,State Board of Education,District 13,No data,No data
49228,General,Appeals Court,14th - Place 8,No data,No data
49292,General,Appeals Court,1st - Place 9,No data,No data
49388,General,Appeals Court,1st - Place 8,No data,No data
49472,General,Appeals Court,12th - Place 3,Yep,No data
49475,General,Appeals Court,13th - Place 2,No data,No data
49476,General,Appeals Court,5th - Place 13,No data,No data
49485,General,Appeals Court,3rd - Place 6,No data,No data
49486,General,Appeals Court,4th - Place 7,No data,No data
49487,General,Appeals Court,8th - Place 2,Yep,No data
49649,General,Appeals Court,5th - Place 5,No data,No data
49658,General,Appeals Court,6th - Place 2,Yep,No data
49739,General,Supreme Court,Place 2,No data,No data
49740,General,Appeals Court,1st - Place 6,No data,No data
49741,General,Appeals Court,2nd - Place 6,Yep,No data
49742,General,Appeals Court,3rd - Place 5,No data,No data
49743,General,Appeals Court,5th - Place 2,No data,No data
49744,General,Appeals Court,7th - Place 3,Yep,No data
49745,General,Appeals Court,9th - Place 3,Yep,No data
49746,General,Appeals Court,9th - Place 4,Yep,No data
49747,General,Appeals Court,14th - Place 3,No data,No data
49748,General,Appeals Court,14th - Place 4,No data,No data
49749,General,Appeals Court,14th - Place 6,No data,No data
49750,General,Criminal Appeals Court,Presiding Judge,No data,No data
49753,General,Appeals Court,4th - Place 2,No data,No data
45903,General,Attorney General,No data,No data,No data
46097,General,Comptroller,No data,No data,No data
45901,General,Governor,No data,No data,Yep
45871,General,U.S. House,District 1,No data,Yep
45872,General,U.S. House,District 2,No data,Yep
45873,General,U.S. House,District 3,No data,Yep
45874,General,U.S. House,District 4,No data,Yep
45875,General,U.S. House,District 5,No data,Yep
45876,General,U.S. House,District 6,No data,Yep
45877,General,U.S. House,District 7,No data,Yep
45878,General,U.S. House,District 8,No data,Yep
45879,General,U.S. House,District 9,No data,Yep
45880,General,U.S. House,District 10,No data,Yep
45881,General,U.S. House,District 11,No data,Yep
45882,General,U.S. House,District 12,No data,Yep
45883,General,U.S. House,District 13,No data,Yep
45884,General,U.S. House,District 14,No data,Yep
45885,General,U.S. House,District 15,No data,Yep
45886,General,U.S. House,District 16,No data,Yep
45887,General,U.S. House,District 17,No data,Yep
45888,General,U.S. House,District 18,No data,Yep
45889,General,U.S. House,District 19,No data,Yep
45890,General,U.S. House,District 20,No data,Yep
45891,General,U.S. House,District 21,No data,Yep
45892,General,U.S. House,District 22,No data,Yep
45893,General,U.S. House,District 23,No data,Yep
45894,General,U.S. House,District 24,No data,Yep
45895,General,U.S. House,District 25,No data,Yep
45896,General,U.S. House,District 26,No data,Yep
45897,General,U.S. House,District 27,No data,Yep
45899,General,U.S. House,District 29,No data,Yep
45900,General,U.S. House,District 30,No data,Yep
47179,General,U.S. House,District 28,No data,Yep
48732,General,U.S. House,District 31,No data,Yep
48733,General,U.S. House,District 32,No data,Yep
49477,General,U.S. House,District 33,No data,Yep
49478,General,U.S. House,District 34,No data,Yep
49479,General,U.S. House,District 35,No data,Yep
49480,General,U.S. House,District 36,No data,Yep
49757,Ballot Issue,City Proposition,Houston - Prop B,No data,No data
45902,General,Lieutenant Governor,No data,No data,No data
47799,General,Railroad Commissioner,Term Exp 2018,No data,No data
45870,General,U.S. Senate,No data,No data,Yep
45936,General,State House,District 1,Yep,No data
45937,General,State House,District 2,No data,No data
45938,General,State House,District 3,No data,No data
45939,General,State House,District 4,No data,No data
45940,General,State House,District 5,No data,No data
45941,General,State House,District 6,No data,No data
45942,General,State House,District 7,Yep,No data
45943,General,State House,District 8,No data,No data
45944,General,State House,District 9,Yep,No data
45945,General,State House,District 10,No data,No data
45946,General,State House,District 11,No data,No data
45947,General,State House,District 12,No data,No data
45948,General,State House,District 13,No data,No data
45949,General,State House,District 14,No data,No data
45950,General,State House,District 15,No data,No data
45951,General,State House,District 16,No data,No data
45952,General,State House,District 17,No data,No data
45953,General,State House,District 18,No data,No data
45954,General,State House,District 19,No data,No data
45955,General,State House,District 20,No data,No data
45956,General,State House,District 21,Yep,No data
45957,General,State House,District 22,Yep,No data
45958,General,State House,District 23,No data,No data
45959,General,State House,District 24,No data,No data
45960,General,State House,District 25,Yep,No data
45961,General,State House,District 26,No data,No data
45962,General,State House,District 27,Yep,No data
45963,General,State House,District 28,No data,No data
45964,General,State House,District 29,Yep,No data
45965,General,State House,District 30,No data,No data
45966,General,State House,District 31,Yep,No data
45967,General,State House,District 32,Yep,No data
45968,General,State House,District 33,No data,No data
45969,General,State House,District 34,No data,No data
45970,General,State House,District 35,Yep,No data
45971,General,State House,District 36,Yep,No data
45972,General,State House,District 37,Yep,No data
45973,General,State House,District 38,Yep,No data
45974,General,State House,District 39,Yep,No data
45975,General,State House,District 40,Yep,No data
45976,General,State House,District 41,No data,No data
45977,General,State House,District 42,No data,No data
45978,General,State House,District 43,No data,No data
45979,General,State House,District 44,No data,No data
45980,General,State House,District 45,No data,No data
45981,General,State House,District 46,No data,No data
45982,General,State House,District 47,No data,No data
45984,General,State House,District 49,No data,No data
45985,General,State House,District 50,Yep,No data
45986,General,State House,District 51,Yep,No data
45987,General,State House,District 52,No data,No data
45988,General,State House,District 53,No data,No data
45990,General,State House,District 55,Yep,No data
45991,General,State House,District 56,No data,No data
45992,General,State House,District 57,No data,No data
45993,General,State House,District 58,Yep,No data
45994,General,State House,District 59,Yep,No data
45996,General,State House,District 61,Yep,No data
45997,General,State House,District 62,No data,No data
45998,General,State House,District 63,No data,No data
45999,General,State House,District 64,No data,No data
46000,General,State House,District 65,No data,No data
46001,General,State House,District 66,No data,No data
46002,General,State House,District 67,No data,No data
46003,General,State House,District 68,Yep,No data
46004,General,State House,District 69,Yep,No data
46005,General,State House,District 70,No data,No data
46006,General,State House,District 71,No data,No data
46007,General,State House,District 72,Yep,No data
46008,General,State House,District 73,No data,No data
46009,General,State House,District 74,Yep,No data
46010,General,State House,District 75,Yep,No data
46011,General,State House,District 76,Yep,No data
46012,General,State House,District 77,Yep,No data
46013,General,State House,District 78,No data,No data
46014,General,State House,District 79,Yep,No data
46015,General,State House,District 80,Yep,No data
46017,General,State House,District 82,No data,No data
46019,General,State House,District 84,No data,No data
46020,General,State House,District 85,No data,No data
46021,General,State House,District 86,No data,No data
46022,General,State House,District 87,Yep,No data
46023,General,State House,District 88,No data,No data
46024,General,State House,District 89,No data,No data
46025,General,State House,District 90,Yep,No data
46026,General,State House,District 91,No data,No data
46027,General,State House,District 92,No data,No data
46028,General,State House,District 93,No data,No data
46030,General,State House,District 95,No data,No data
46031,General,State House,District 96,No data,No data
46032,General,State House,District 97,No data,No data
46033,General,State House,District 98,No data,No data
46034,General,State House,District 99,No data,No data
46035,General,State House,District 100,Yep,No data
46036,General,State House,District 101,No data,No data
46038,General,State House,District 103,No data,No data
46039,General,State House,District 104,Yep,No data
46040,General,State House,District 105,No data,No data
46042,General,State House,District 107,No data,No data
46043,General,State House,District 108,No data,No data
46044,General,State House,District 109,Yep,No data
46045,General,State House,District 110,Yep,No data
46046,General,State House,District 111,Yep,No data
46047,General,State House,District 112,No data,No data
46049,General,State House,District 114,No data,No data
46050,General,State House,District 115,No data,No data
46051,General,State House,District 116,No data,No data
46052,General,State House,District 117,No data,No data
46053,General,State House,District 118,No data,No data
46054,General,State House,District 119,Yep,No data
46055,General,State House,District 120,No data,No data
46056,General,State House,District 121,No data,No data
46057,General,State House,District 122,No data,No data
46058,General,State House,District 123,Yep,No data
46059,General,State House,District 124,No data,No data
46060,General,State House,District 125,No data,No data
46064,General,State House,District 129,No data,No data
46065,General,State House,District 130,No data,No data
46066,General,State House,District 131,No data,No data
46067,General,State House,District 132,No data,No data
46068,General,State House,District 133,No data,No data
46069,General,State House,District 134,No data,No data
46070,General,State House,District 135,No data,No data
46071,General,State House,District 136,No data,No data
46072,General,State House,District 137,No data,No data
46073,General,State House,District 138,No data,No data
46074,General,State House,District 139,No data,No data
46075,General,State House,District 140,Yep,No data
46076,General,State House,District 141,Yep,No data
46077,General,State House,District 142,Yep,No data
46078,General,State House,District 143,Yep,No data
46079,General,State House,District 144,No data,No data
46080,General,State House,District 145,No data,No data
46081,General,State House,District 146,No data,No data
46082,General,State House,District 147,No data,No data
46083,General,State House,District 148,No data,No data
46084,General,State House,District 149,No data,No data
46085,General,State House,District 150,No data,No data
48842,General,State House,District 48,Yep,No data
48843,General,State House,District 54,No data,No data
48844,General,State House,District 60,Yep,No data
48845,General,State House,District 81,No data,No data
48846,General,State House,District 83,No data,No data
48847,General,State House,District 94,No data,No data
48848,General,State House,District 102,No data,No data
48849,General,State House,District 106,No data,No data
48850,General,State House,District 113,No data,No data
48851,General,State House,District 126,No data,No data
48852,General,State House,District 127,No data,No data
48853,General,State House,District 128,Yep,No data
49751,Special General,State House,District 62 - Unexpired Term,Yep,No data
49752,Special General,State House,District 52 - Unexpired Term,No data,No data
44720,General,State Senate,District 30,No data,No data
45906,General,State Senate,District 2,No data,No data
45907,General,State Senate,District 3,No data,No data
